Drivers of pandemic risk (examples),Drivers of pandemic risk (short),Category,Stage,Narrative representation,Quantitative projections
Educational attainment,Educational attainment,Risk multipliers,Pandemic spread and impacts,Explicit in SSP narratives,Projections available (core SSP quantifications)
Population age structure,Population age structure,Population characteristics,Pandemic spread and impacts,Explicit in SSP narratives,Projections available (core SSP quantifications)
Income inequality,Income inequality,Risk multipliers,Pandemic spread and impacts,Explicit in SSP narratives,Projections available (core SSP quantifications)
Population size,Population size,Population characteristics,Pandemic spread and impacts,Explicit in SSP narratives,Projections available (core SSP quantifications)
Population density,Population density,Population characteristics,Pandemic spread and impacts,Explicit in SSP narratives,Projections available (core SSP quantifications)
Land cover (built-up),Land cover (built-up),Passive human-wildlife contact,Pathogen spillover,Explicit in SSP narratives,Projections available (core SSP quantifications)
Land cover (forest),Land cover (forest),Passive human-wildlife contact,Pathogen spillover,Explicit in SSP narratives,Projections available (standard IAM variables)
Dietary reliance on livestock animal protein,Dietary reliance on livestock protein,Livestock production systems ,Pathogen spillover,Explicit in SSP narratives,Projections available (standard IAM variables)
Land cover (animal agriculture),Land cover (animal agriculture),Livestock production systems ,Pathogen spillover,Explicit in SSP narratives,Projections available (standard IAM variables)
Production scale and industrialization,Production scale & industrialization,Livestock production systems ,Pathogen spillover,Explicit in SSP narratives,Projections available (standard IAM variables)
International livestock trade,International livestock trade,Livestock production systems ,Pathogen spillover,Explicit in SSP narratives,Projections available (standard IAM variables)
Deforestation,Deforestation,Passive human-wildlife contact,Pathogen spillover,Explicit in SSP narratives,Projections available (standard IAM variables)
Gender inequality,Gender inequality,Risk multipliers,Pandemic spread and impacts,Explicit in SSP narratives,Projections available (extensions or downstream modeling studies)
Health systems investment,Health systems investment,Health systems,Pandemic preparedness and response,Explicit in SSP narratives,Projections possible (extensions or downstream modeling studies)
Healthcare access (physical infrastructure),Healthcare access (physical infrastructure),Health systems,Pandemic preparedness and response,Explicit in SSP narratives,Projections possible (extensions or downstream modeling studies)
"Water, sanitation and hygiene","Water, sanitation & hygiene",Risk multipliers,Pandemic spread and impacts,Explicit in SSP narratives,Projections possible (extensions or downstream modeling studies)
