"model","scenario","region","variable","unit","version","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"AIM/CGE","SSP1-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,246.084,263.2231,295.5043,325.6432,351.2937,369.3742,379.5662,382.4958,378.0342,366.26,348.3206
"AIM/CGE","SSP2-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,246.084,265.9755,305.7667,342.0546,372.6984,398.8085,419.9325,436.3046,447.3252,453.1474,454.5644
"AIM/CGE","SSP3-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,246.084,270.0045,317.8672,356.3364,384.6122,408.098,428.164,447.4969,466.442,484.7704,502.7215
"AIM/CGE","SSP4-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,246.084,264.6593,301.3672,332.7334,356.6237,373.2577,383.581,388.6194,388.8926,385.5205,379.7315
"AIM/CGE","SSP5-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,246.084,266.0162,306.3678,350.9486,392.9018,426.3777,451.5694,468.8491,478.0692,479.4421,473.3896
"GCAM4","SSP1-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,177.627720348561,193.120125835049,232.440280293547,266.348278343993,298.954874672652,330.53140114319,350.477103322773,358.861809251415,359.54782019979,353.10842434166,336.606205670834
"GCAM4","SSP2-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,177.627720348561,193.120125835049,227.470485379705,255.580066760729,283.201821390307,312.4862322672,332.859921422118,348.968230892209,358.055729796733,363.08417509493,364.148821305662
"GCAM4","SSP3-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,177.627720348561,193.120125835049,227.429394847609,255.977602724401,284.661643814992,312.821257620631,337.847396105556,365.440465326194,394.698697731539,421.110139682413,448.304822822178
"GCAM4","SSP4-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,177.627720348561,193.120125835049,226.806023094714,253.093462808257,276.367922218554,298.845780816274,310.854798235443,319.02519409699,324.128626439867,324.630714587774,324.481160609675
"GCAM4","SSP5-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,177.627720348561,193.120125835049,227.306905766125,255.258233818346,281.188851457761,307.202325476324,324.750047902017,336.217895453795,344.686688080629,343.143260088368,335.830180598669
"IMAGE","SSP1-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,238.9865,262.44078125,289.28228125,310.4563125,325.79621875,341.13615625,334.97215625,328.8081875,322.644125,316.48015625,310.31609375
"IMAGE","SSP2-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,238.9865,262.44078125,305.8851875,341.75925,365.00321875,388.2471875,394.0163125,399.78540625,405.5545,411.3236875,417.09284375
"IMAGE","SSP3-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,238.9865,262.44078125,318.2841875,364.09971875,384.64365625,405.187625,414.90140625,424.61515625,434.3289375,444.0426875,453.75646875
"IMAGE","SSP4-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,238.9865,262.44078125,304.1798125,337.02725,355.31071875,373.59409375,371.8523125,370.11034375,368.36853125,366.62665625,364.88484375
"IMAGE","SSP5-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,238.9865,262.4178125,319.21975,382.2915625,428.725,475.15840625,489.144625,503.13078125,517.1170625,531.1033125,545.0895
"MESSAGE-GLOBIOM","SSP1-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,216.1299970087917,233.1174963608334,262.3135416225683,288.6486619434639,309.8295024147998,324.2453921820542,329.0507220767173,326.2319604437902,318.6580328530702,305.6854936155831,289.4934385612727
"MESSAGE-GLOBIOM","SSP2-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,216.1299970087917,233.1174963608334,276.5922076098366,318.1489112119418,354.6094324684275,384.8380908000315,409.0347479117486,426.4339173515588,439.2970085928444,447.2700748174734,451.0891141778555
"MESSAGE-GLOBIOM","SSP3-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,216.1299973818115,233.1174971068731,272.4629651275183,305.6154123689447,329.7081252794213,346.812800721124,360.8283013026671,373.5736535910849,386.6596419685776,398.6125603561443,411.1778862937948
"REMIND-MAGPIE","SSP1-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,205.7575,239.1869,307.334,374.4178,425.9877,446.5156,444.2422,415.8849,375.5481,326.5638,272.1933
"REMIND-MAGPIE","SSP2-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,205.7575,239.1216,305.5444,365.1189,411.6343,448.4185,473.0214,492.0969,506.0513,502.437,486.2526
"REMIND-MAGPIE","SSP5-Baseline","World","Agricultural Production|Livestock","million t DM/yr",1,205.7576,235.4138,304.2413,385.2233,465.1096,517.3481,545.6859,559.7453,558.3667,543.4816,516.2731
