"model","scenario","version","region","unit","variable","type","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"AIM/CGE","SSP1-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3903.6141,3885.8143,3856.4813,3836.5314,3830.5029,3823.6274,3803.4526,3800.1007,3816.3527,3867.3195,3935.3915
"AIM/CGE","SSP2-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3903.6141,3873.4271,3811.3864,3761.9513,3729.0167,3698.3673,3652.9826,3617.445,3595.2281,3593.7231,3601.0948
"AIM/CGE","SSP3-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3903.6141,3848.4974,3745.0815,3669.4034,3619.2731,3572.3221,3511.8689,3456.321,3407.6279,3366.711,3325.3037
"AIM/CGE","SSP4-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3903.6141,3872.6453,3808.7699,3763.6769,3735.7469,3693.1528,3636.9729,3598.6434,3577.7218,3596.305,3623.9794
"AIM/CGE","SSP5-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3903.6141,3877.874,3830.5515,3781.8579,3749.1274,3726.9385,3689.4367,3664.3435,3653.1064,3658.2315,3667.6432
"GCAM4","SSP1-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",,4090.35702147,4124.602503854,4156.074401232,4172.836727849,4195.531598293,4192.265432827,4200.945913658,4213.351703008,4230.906076256,4251.072226839
"GCAM4","SSP2-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",,4090.35702147,4089.14181657,4079.616736031,4061.535325677,4046.613737443,4019.076266128,4004.746841445,3999.789386126,4003.054211142,4011.248140286
"GCAM4","SSP3-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",,4090.35702147,4053.902979744,4000.370097249,3937.593027418,3869.638165305,3788.666291463,3703.88339185,3616.669353594,3552.947567132,3492.3125655164
"GCAM4","SSP4-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",4077.79882342,4090.35702147,4078.451865895,4057.006977764,4023.834783302,3994.51332154,3952.983424224,3920.365663454,3897.436735907,3889.9537040798,3886.4800560872
"GCAM4","SSP5-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",,4090.35702147,4111.937449388,4127.614030305,4130.107823893,4143.703041105,4142.00057361,4150.647314268,4161.533235749,4180.297932039,4204.301287664
"IMAGE","SSP1-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3725.0472,3708.1456,3697.7396,3696.9532,3733.1724,3783.7756,3836.3116,3885.9344,3922.9056,3954.9048,4004.3916
"IMAGE","SSP2-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3725.0708,3706.3696,3622.9652,3552.6108,3496.0184,3454.21,3445.8188,3446.338,3442.4432,3444.0164,3445.6232
"IMAGE","SSP3-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3725.0472,3705.1876,3560.4232,3432.8868,3359.9656,3302.879,3272.0662,3248.2422,3227.0578,3201.9006,3176.069
"IMAGE","SSP4-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3725.2364,3705.774,3635.4992,3577.2076,3518.0756,3474.0108,3481.0868,3489.7796,3466.7252,3463.4496,3467.5252
"IMAGE","SSP5-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3725.2312,3708.5116,3600.91,3490.3084,3431.3932,3371.6584,3363.0816,3366.9308,3365.8192,3362.8568,3366.0988
"MESSAGE-GLOBIOM","SSP1-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3917.43829885765,3893.2683705335,3876.4713229333,3872.3591454178,3867.9933902783,3883.3837051612,3906.802200182499,3930.2317323973,3946.7708671201,3966.0842280599,3986.7987611715
"MESSAGE-GLOBIOM","SSP2-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3917.43829885765,3893.2683705335,3873.8612142355,3856.6495945438,3842.763097991701,3834.5302825423,3835.729308313299,3841.2622549829,3845.127791455001,3852.580351193199,3877.160282145799
"MESSAGE-GLOBIOM","SSP3-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",3917.43829885765,3893.2683705335,3866.213601706199,3831.6375944547,3791.445311214799,3746.302530224999,3713.5716312618,3696.6750251486,3677.912862689001,3656.4942153221,3637.4262807626
"REMIND-MAGPIE","SSP1-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",4188.4823,4161.5462,4105.0044,4093.2131,4092.271,4077.3441,4085.9675,4099.3021,4127.767,4164.8021,4194.7485
"REMIND-MAGPIE","SSP2-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",4190.7451,4156.1335,4094.6081,4060.1363,4018.7293,4022.0857,3982.5286,3977.1738,3980.6841,4021.4831,4026.9573
"REMIND-MAGPIE","SSP5-Baseline",1,"World","million ha","Land Cover|Forest","ANNUAL",4187.2523,4172.4209,4098.1125,4011.3414,3974.4204,3949.0909,3937.0653,3944.3584,3957.1067,3965.4384,3969.1989
