"model","scenario","region","variable","unit","version","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 100+","million",1,0.497209,0.797665,1.125651,1.634132,2.392633,3.962872,6.37932,9.477113,14.217545,20.562265,27.662976,33.51916199999999,43.84258800000001,55.678644,63.78686800000001,71.17298100000001
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 65-69","million",1,154.885433,175.278991,197.784312,212.12246,214.393095,239.675148,263.377709,264.802264,263.0644380000001,274.04875,290.903744,307.396364,309.831547,298.064611,270.202052,255.883693
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 70-74","million",1,126.298491,142.4619,162.732864,185.265187,200.098017,203.291809,228.678485,252.789779,255.243073,254.769531,266.612571,284.26017,301.519076,304.791241,293.854519,267.128005
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 75-79","million",1,85.735514,110.534038,126.289759,146.212818,168.584613,183.994474,188.222541,213.553011,238.050509,241.836443,242.939217,255.822815,274.47101,292.727641,297.139918,287.363812
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 80-84","million",1,53.568113,68.928231,90.687971,105.629633,124.741705,146.482819,162.194384,167.604265,192.482794,217.159261,222.563419,225.592935,239.71538,259.581578,279.097907,285.040281
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 85-89","million",1,31.754046,37.045108,49.522241,67.066202,80.54280899999999,98.05365700000002,118.135764,133.65503,140.343509,164.05297,188.315019,195.591796,200.860968,216.272011,237.39637,258.246174
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 90-94","million",1,13.661208,17.177171,21.252525,29.986241,42.338224,53.321826,67.860455,84.884944,99.347629,107.041598,128.4029,151.112752,160.255882,167.752007,184.025493,205.780278
"IIASA-WiC POP 2025","SSP1","World","Population|Female|Age 95-99","million",1,3.809305,4.967932,6.67809,8.933258,13.553581,20.28978,27.405512,37.284591,49.525616,61.14632100000001,68.965699,86.038807,105.009917,115.160944,124.147565,139.655255
"IIASA-WiC POP 2025","SSP1","World","Population|Male|Age 100+","million",1,0.126355,0.202221,0.282755,0.415584,0.615506,1.017379,1.610756,2.447924,3.729403,5.545559,7.807636,10.13508,14.593132,20.701625,26.58976,33.510809
"IIASA-WiC POP 2025","SSP1","World","Population|Male|Age 65-69","million",1,138.083747,158.817655,182.190371,198.225779,202.805197,229.324805,255.286145,260.729791,262.929415,275.996168,294.979544,313.085615,315.488255,302.4122,274.170869,260.306723
"IIASA-WiC POP 2025","SSP1","World","Population|Male|Age 70-74","million",1,105.499273,120.926992,141.01431,163.902378,180.277477,186.030369,212.353099,238.56717,245.391728,249.263397,263.444817,283.476795,302.66909,306.40016,294.675187,268.315922
"IIASA-WiC POP 2025","SSP1","World","Population|Male|Age 75-79","million",1,66.980243,86.211208,100.676981,119.628682,141.513064,158.024687,164.894216,190.607408,216.760687,225.084455,230.897034,246.282007,267.473241,287.949891,293.35049,283.374027
"IIASA-WiC POP 2025","SSP1","World","Population|Male|Age 80-84","million",1,37.494282,49.036271,64.66557,77.50091800000001,94.50161800000001,114.510726,130.516856,138.324157,162.630458,188.06524,197.955701,205.859854,222.425076,244.826587,266.726934,274.197149
